id_bod|id_schuze|id_tisk|id_typ|bod|uplny_naz|uplny_kon|poznamka|id_bod_stav|pozvanka|rj|pozn2|druh_bodu|id_sd|zkratka
8279|48|||1|Slib pøedsedajícího ustavující schùze Poslanecké snìmovny|Není sn.tisk||0|||||||
8280|48|||2|Slib poslancù|Není sn.tisk||0|||||||
8281|48|||3|Informace pøedsedy volební komise o ustavení volební komise a o volbì jejich funkcionáøù|Není sn.tisk||0|||||||
8282|48|||4|Návrh pøedsedajícího na stanovení poètu èlenù mandátového a imunitního vıboru|Není sn.tisk||0|||||||
8283|48|||5|Sdìlení pøedsedy volební komise o lhùtì na podání návrhù na èleny mandátového a imunitního vıboru a na kandidáty na pøedsedu, místopøedsedy a ovìøovatele Poslanecké snìmovny|Není sn.tisk||0|||||||
8284|48|||6|Návrh volební komise na ustavení mandátového a imunitního vıboru|Není sn.tisk||0|||||||
8285|48|||7|Návrh pøedsedajícího schùze na potvrzení volby pøedsedy mandátového a imunitního vıboru|Není sn.tisk||0|||||||
8286|48|||8|Zpráva mandátového a imunitního vıboru o vısledku zkoumání, zda jednotliví poslanci a náhradníci za poslance byli platnì zvoleni|Není sn.tisk||0|||||||
8287|48|||9|Volba pøedsedy Poslanecké snìmovny|Není sn.tisk||0|||||||
8288|48|||10|Návrh pøedsedy Poslanecké snìmovny na stanovení poètu místopøedsedù Poslanecké snìmovny|Není sn.tisk||0|||||||
8289|48|||11|Návrh pøedsedy Poslanecké snìmovny na stanovení poètu ovìøovatelù Poslanecké snìmlovny|Není sn.tisk||0|||||||
8290|48|||12|Volba místopøedsedù Poslanecké snìmovny|Není sn.tisk||0|||||||
8291|48|||13|Návrh pøedsedy volební komise na nominaci ovìøovatelù Poslanecké snìmovny|Není sn.tisk||0|||||||
8292|48|||14|Návrh na zøízení dalších vıborù Poslanecké snìmovny|Není sn.tisk||0|||||||
8293|48|||15|Návrh na stanovení poètu èlenù všech dalších vıborù Poslanecké snìmovny|Není sn.tisk||0|||||||
8294|48|||16|Sdìlení pøedsedy volební komise o lhùtì na podání návrhù na èleny vıborù|Není sn.tisk||0|||||||
8295|48|||17|Návrh termínu 2. schùze Poslanecké snìmovny|Není sn.tisk||0|||||||
7201|49|||6|Informace pøedsedy Poslanecké snìmovny o svolání ustavujících schùzí vıborù Poslanecké snìmovny a povìøení poslancù øízením tìchto schùzí|Není sn.tisk||1|1||||||
7201|49|||7|Informace pøedsedy Poslanecké snìmovny o svolání ustavujících schùzí vıborù Poslanecké snìmovny a povìøení poslancù øízením tìchto schùzí|Není sn.tisk||1|||||||
7202|49|||1|Návrh na zasedací poøádek v jednacím sále Poslanecké snìmovny|Není sn.tisk||1|||||||
7202|49|||1|Návrh na zasedací poøádek v jednacím sále Poslanecké snìmovny|Není sn.tisk||1|1||||||
7203|49|||4|Návrh na zøízení a poèty stálıch delegací Poslanecké snìmovny do meziparlamentních organizací|Není sn.tisk||1|||||||
7203|49|||4|Návrh na zøízení a poèty stálıch delegací Poslanecké snìmovny do meziparlamentních organizací|Není sn.tisk||1|1||||||
7204|49|||5|Návrh na zøízení stálıch komisí Poslanecké snìmovny, stanovení poètu èlenù a zpùsobu jejich ustavení nebo volby (§ 115 odst.3)   /- pro práci Kanceláøe Poslanecké snìmovny,   - pro bankovnictví,   - pro sdìlovací prostøedky/|Není sn.tisk||1|||||||
7204|49|||5|Návrh na zøízení stálıch komisí Poslanecké snìmovny, stanovení poètu èlenù a zpùsobu jejich ustavení nebo volby (§ 115 odst.3)   /- pro práci Kanceláøe Poslanecké snìmovny,   - pro bankovnictví,   - pro sdìlovací prostøedky/|Není sn.tisk||1|1||||||
7205|49|||7|Návrh pøedsedy Poslanecké snìmovny na potvrzení pøedsedù vıborù Poslanecké snìmovny|Není sn.tisk||1|1||||||
7205|49|||8|Návrh pøedsedy Poslanecké snìmovny na potvrzení pøedsedù vıborù Poslanecké snìmovny|Není sn.tisk||1|||||||
7206|49|||3|Návrh usnesení Poslanecké snìmovny o postavení a zpùsobu volby stálıch delegací Poslanecké snìmovny do meziparlamentních organizací podle § 1 odst. 2 zákona è. 90/1995 Sb., o jednacím øádu Poslanecké snìmovny|Není sn.tisk||1|||||||
7206|49|||3|Návrh usnesení Poslanecké snìmovny o postavení a zpùsobu volby stálıch delegací Poslanecké snìmovny do meziparlamentních organizací podle § 1 odst. 2 zákona è. 90/1995 Sb., o jednacím øádu Poslanecké snìmovny|Není sn.tisk||1|1||||||
7207|49|||9|Návrh volební komise Poslanecké snìmovny na ustavení (nebo na volbu èlenù) stálıch komisí Poslanecké snìmovny|Není sn.tisk||1|1||||||
7207|49|||10|Návrh volební komise Poslanecké snìmovny na ustavení (nebo na volbu èlenù) stálıch komisí Poslanecké snìmovny|Není sn.tisk||1|||||||
7208|49|||2|Návrh volební komise Poslanecké snìmovny na ustavení vıborù Poslanecké snìmovny|Není sn.tisk||1|||||||
7208|49|||2|Návrh volební komise Poslanecké snìmovny na ustavení vıborù Poslanecké snìmovny|Není sn.tisk||1|1||||||
